S.NO,Movie,Year,Language,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,PosterURL
1,Nuvve Kavali,2000,Telugu,,,"Nuvve Kavali(transl.I need only you) is a 2000 IndianTelugu-languageromance filmdirected byK. Vijaya Bhaskarand produced byRamoji RaounderUshakiran Movies. An official adaptation to the 1999 Malayalam filmNiram, the film starsTarun,Richa Pallod,Sai Kiran, andVarsha(the former three make their debuts in lead roles).[3][4]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Nuvve-Kavali.jpg/250px-Nuvve-Kavali.jpg
2,Kalisundam Raa,2000,Telugu,,,"Kalisundham Raa(transl.Come, Let's Be Together) is a 2000 IndianTelugu-languageromanticfamily drama film directed byK. R. Udayasankarand produced byD. Suresh Babu. It starsVenkatesh,SimranandK. Viswanath, with music composed byS. A. Rajkumar. It received theNational Film Award for Best Feature Film in Teluguat the47th National Film Awards. The film won fourNandi Awardsby theGovernment of Andhra Pradesh.[2]The film was remade in Hindi asKuch Tum Kaho Kuch Hum Kahein(2002) and in Kannada asOndagona Baa(2003).",,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Kalisundam_Raa.jpg/250px-Kalisundam_Raa.jpg
3,Annayya,2000,Telugu,,,"Annayya(transl.Elder brother) is a 2000 IndianTelugu-language film directed byMuthyala Subbaiahwho wrote the film with Bhupati Raja and Satyanand. The film starsChiranjeevi,Soundarya,Venkat,Ravi Teja, Chandni, Sishwa,PriyaandKota Srinivasa Rao. It has music composed byMani Sharmawith cinematography byChota K. Naidu. The film is released on 7 January 2000.[1]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Annayya_2000_Poster.jpg/250px-Annayya_2000_Poster.jpg
4,Badri,2000,Telugu,,,"Badriis a 2000 IndianTelugu-languageromanticaction filmwritten and directed byPuri Jagannadhin his directorial debut. The film starsPawan Kalyan,Amisha Patel,Renu DesaiandPrakash Raj. This film marks the South Indian debut of Amisha Patel. The film's music was composed byRamana Gogula, which marks his second collaboration with Pawan Kalyan afterThammudu(1999).[1]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Badri_Telugu.jpg/250px-Badri_Telugu.jpg
5,Jayam Manadera,2000,Telugu,,,"Jayam Manadera(transl.Victory is Ours) is a 2000 IndianTelugu-languageaction drama filmdirected byN. Shankarand produced byD. Suresh Babuunder theSuresh Productionsbanner. It starsVenkatesh,SoundaryaandBhanupriya, with music composed byVandemataram Srinivas. The film was successful at thebox office.[1]The film won twoNandi Awardsand oneFilmfare Award. The film was also remade in Tamil asManikanda.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Jayam_Manadera.jpg/250px-Jayam_Manadera.jpg
6,Nuvvu Vastavani,2000,Telugu,,,"Nuvvu Vasthavani(transl.So that you would come) is a 2000 IndianTelugu-languageromance film,  directed by V. R. Prathap, written byEzhil, and produced byR. B. Choudary. It starsNagarjuna AkkineniandSimranin lead roles.The music of the movie was composed byS. A. Rajkumar. The film is a Telugu remake of the 1999 Tamil filmThullatha Manamum Thullum, in which Simran reprised her role.",,,,https://upload.wikimedia.org/wikipedia/en/5/58/Nuvvu_Vastavani_%282000_film%29.jpg
7,Kshemamga Velli Labhamga Randi,2000,Telugu,,,"Kshemamga Velli Labhamga Randi(transl.Go safe and come back prosperous) is a 2000Telugu-languagecomedy filmdirected by Raja Vannem Reddy. The film features anensemble castofSrikanth,Rajendra Prasad,Brahmanandam,Ramya Krishna,Roja,PreethiandKovai Sarala, with music composed byVandemataram Srinivas. The film is produced by M. V. Lakshmi under the ML Art Movies banner and is presented byEditor Mohan. A remake of theTamilfilmViralukketha Veekkam(1999), it was released on 4 February 2000, and did well at the box office.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Kshemamga_Velli_Labhamga_Randi.jpg/250px-Kshemamga_Velli_Labhamga_Randi.jpg
8,Chitram,2000,Telugu,,,Chitram(transl.Picture) is a 2000 IndianTelugu-languageromantic comedyfilm written and directed byTeja. This film stars debutantsUday KiranandReema Senin the lead roles. The film was sensational hit in 2000.[2]The film is produced byRamoji Rao.The music of the movie was composed byR. P. Patnaik. The film was released asChithiramin Tamil in 2001 with the film mostly featuring scenes dubbed from the original although scenes involvingManivannanandSenthilwere added.[3][4]The movie was remade in Kannada asChitraand was a successful venture. The film ran for 100 days in 12 centers.[5],,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Chitram.jpg/250px-Chitram.jpg
9,Devullu,2000,Telugu,,,"Devullu(transl.Gods) is a 2000Telugu-languagesupernatural filmdirected byKodi Ramakrishna. It starsPrithvi,Raasi, Master Nandan, Baby Nitya, whileSuman,Srikanth,Rajendra Prasad,Ramya Krishna,Layawere in supporting roles and music was composed byVandemataram Srinivas. It was produced by Chegondi Haribabu, Karatam Rambabu under the Babu Pictures banner.[2]The film was dubbed in Tamil asKuzhanthayum Deivamum.[3]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Devullu_poster.jpg/250px-Devullu_poster.jpg
10,Chala Bagundi,2000,Telugu,,,,,,,
